Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BoldKey Login Page,Firefox 57.0,,2018-05-24 14:22:22,2018-05-24 14:24:45,2m - 22.454s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Positive Case/Login Success - Button,Firefox 57.0,,2018-05-24 14:22:23,2018-05-24 14:22:51,28.157s,PASSED
Statement - If (openBrowser == false),Firefox 57.0,,2018-05-24 14:22:23,2018-05-24 14:22:38,14.399s,PASSED
callTestCase,Firefox 57.0,,2018-05-24 14:22:38,2018-05-24 14:22:39,1.309s,PASSED
waitForElementVisible,Firefox 57.0,,2018-05-24 14:22:39,2018-05-24 14:22:44,5.142s,PASSED
callTestCase,Firefox 57.0,,2018-05-24 14:22:44,2018-05-24 14:22:51,6.801s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Firefox 57.0,,2018-05-24 14:22:51,2018-05-24 14:23:00,8.735s,PASSED
Statement - If (openBrowser == false),Firefox 57.0,,2018-05-24 14:22:51,2018-05-24 14:22:51,0.001s,PASSED
callTestCase,Firefox 57.0,,2018-05-24 14:22:51,2018-05-24 14:22:52,0.633s,PASSED
Statement - switch (data_expectedresult.toString()),Firefox 57.0,,2018-05-24 14:22:52,2018-05-24 14:23:00,7.725s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Firefox 57.0,,2018-05-24 14:23:00,2018-05-24 14:23:09,8.981s,PASSED
Statement - If (openBrowser == false),Firefox 57.0,,2018-05-24 14:23:00,2018-05-24 14:23:00,0.001s,PASSED
callTestCase,Firefox 57.0,,2018-05-24 14:23:00,2018-05-24 14:23:00,0.546s,PASSED
Statement - switch (data_expectedresult.toString()),Firefox 57.0,,2018-05-24 14:23:00,2018-05-24 14:23:09,8.310s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Firefox 57.0,,2018-05-24 14:23:09,2018-05-24 14:23:21,11.951s,PASSED
Statement - If (openBrowser == false),Firefox 57.0,,2018-05-24 14:23:09,2018-05-24 14:23:09,0.000s,PASSED
callTestCase,Firefox 57.0,,2018-05-24 14:23:09,2018-05-24 14:23:09,0.576s,PASSED
Statement - switch (data_expectedresult.toString()),Firefox 57.0,,2018-05-24 14:23:09,2018-05-24 14:23:21,11.237s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Firefox 57.0,,2018-05-24 14:23:21,2018-05-24 14:23:35,14.290s,PASSED
Statement - If (openBrowser == false),Firefox 57.0,,2018-05-24 14:23:21,2018-05-24 14:23:21,0.000s,PASSED
callTestCase,Firefox 57.0,,2018-05-24 14:23:21,2018-05-24 14:23:21,0.477s,PASSED
Statement - switch (data_expectedresult.toString()),Firefox 57.0,,2018-05-24 14:23:21,2018-05-24 14:23:35,13.715s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Firefox 57.0,,2018-05-24 14:23:35,2018-05-24 14:23:49,14.059s,PASSED
Statement - If (openBrowser == false),Firefox 57.0,,2018-05-24 14:23:35,2018-05-24 14:23:35,0.001s,PASSED
callTestCase,Firefox 57.0,,2018-05-24 14:23:35,2018-05-24 14:23:36,0.539s,PASSED
Statement - switch (data_expectedresult.toString()),Firefox 57.0,,2018-05-24 14:23:36,2018-05-24 14:23:49,13.433s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Firefox 57.0,,2018-05-24 14:23:49,2018-05-24 14:23:58,9.306s,PASSED
Statement - If (openBrowser == false),Firefox 57.0,,2018-05-24 14:23:49,2018-05-24 14:23:49,0.001s,PASSED
callTestCase,Firefox 57.0,,2018-05-24 14:23:49,2018-05-24 14:23:50,0.418s,PASSED
Statement - switch (data_expectedresult.toString()),Firefox 57.0,,2018-05-24 14:23:50,2018-05-24 14:23:58,8.800s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Firefox 57.0,,2018-05-24 14:23:58,2018-05-24 14:24:11,12.952s,PASSED
Statement - If (openBrowser == false),Firefox 57.0,,2018-05-24 14:23:58,2018-05-24 14:23:58,0.003s,PASSED
callTestCase,Firefox 57.0,,2018-05-24 14:23:58,2018-05-24 14:23:59,0.471s,PASSED
Statement - switch (data_expectedresult.toString()),Firefox 57.0,,2018-05-24 14:23:59,2018-05-24 14:24:11,12.336s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Firefox 57.0,,2018-05-24 14:24:11,2018-05-24 14:24:22,10.994s,PASSED
Statement - If (openBrowser == false),Firefox 57.0,,2018-05-24 14:24:11,2018-05-24 14:24:11,0.001s,PASSED
callTestCase,Firefox 57.0,,2018-05-24 14:24:11,2018-05-24 14:24:12,0.446s,PASSED
Statement - switch (data_expectedresult.toString()),Firefox 57.0,,2018-05-24 14:24:12,2018-05-24 14:24:22,10.470s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Firefox 57.0,,2018-05-24 14:24:22,2018-05-24 14:24:31,8.857s,PASSED
Statement - If (openBrowser == false),Firefox 57.0,,2018-05-24 14:24:22,2018-05-24 14:24:22,0.000s,PASSED
callTestCase,Firefox 57.0,,2018-05-24 14:24:22,2018-05-24 14:24:23,0.493s,PASSED
Statement - switch (data_expectedresult.toString()),Firefox 57.0,,2018-05-24 14:24:23,2018-05-24 14:24:31,8.276s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Firefox 57.0,,2018-05-24 14:24:31,2018-05-24 14:24:44,13.002s,PASSED
Statement - If (openBrowser == false),Firefox 57.0,,2018-05-24 14:24:31,2018-05-24 14:24:31,0.002s,PASSED
callTestCase,Firefox 57.0,,2018-05-24 14:24:31,2018-05-24 14:24:32,0.419s,PASSED
Statement - switch (data_expectedresult.toString()),Firefox 57.0,,2018-05-24 14:24:32,2018-05-24 14:24:44,12.510s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Close Browser,Firefox 57.0,,2018-05-24 14:24:44,2018-05-24 14:24:45,0.505s,PASSED
closeBrowser,Firefox 57.0,,2018-05-24 14:24:44,2018-05-24 14:24:45,0.376s,PASSED
